Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1502,SUMMITSEC,EQ,4207,2737,65.06
20,1503,SUNCLAYLTD,EQ,1164,905,77.75
20,1504,SUNDARAM,EQ,105489,91693,86.92
20,1505,SUNDARMFIN,EQ,204605,100335,49.04
20,1506,SUNDARMHLD,EQ,21155,16176,76.46
20,1507,SUNDRMBRAK,EQ,2624,1239,47.22
20,1508,SUNDRMFAST,EQ,48735,26039,53.43
20,1509,SUNFLAG,EQ,152374,88043,57.78
20,1510,SUNPHARMA,EQ,6481012,2618433,40.40
20,1511,SUNTECK,EQ,131847,23629,17.92
20,1512,SUNTV,EQ,1399766,351648,25.12
20,1513,SUPERHOUSE,EQ,1925,1802,93.61
20,1514,SUPPETRO,EQ,7947,5655,71.16
20,1515,SUPRAJIT,EQ,25074,20428,81.47
20,1516,SUPREMEIND,EQ,137658,98942,71.88
20,1517,SUPREMEINF,EQ,2243,1577,70.31
20,1518,SURANASOL,EQ,3819,2875,75.28
20,1519,SURANAT&P,EQ,629,629,100.00
20,1520,SURANI,SM,2000,2000,100.00
20,1521,SURYALAXMI,EQ,3926,3357,85.51
20,1522,SURYAROSNI,EQ,42528,13348,31.39
20,1523,SUTLEJTEX,EQ,4385,3894,88.80
20,1524,SUULD,SM,32000,0,0.00
20,1525,SUVEN,EQ,606329,208636,34.41
20,1526,SUZLON,EQ,11606560,6933185,59.74
20,1527,SVLL,SM,1000,1000,100.00
20,1528,SWANENERGY,EQ,109181,18934,17.34
20,1529,SWARAJENG,EQ,5687,4584,80.60
20,1530,SWELECTES,EQ,1511,1371,90.73
20,1531,SWSOLAR,EQ,286018,188960,66.07
20,1532,SYMPHONY,EQ,16310,9428,57.81
20,1533,SYNDIBANK,EQ,722612,325413,45.03
20,1534,SYNGENE,EQ,445967,378230,84.81
20,1535,TAINWALCHM,EQ,4790,3490,72.86
20,1536,TAJGVK,EQ,368029,77933,21.18
20,1537,TAKE,EQ,74161,50555,68.17
20,1538,TALBROAUTO,EQ,27998,14299,51.07
20,1539,TALWALKARS,EQ,31740,20663,65.10
20,1540,TALWGYM,EQ,73777,60470,81.96
20,1541,TANLA,EQ,254435,205307,80.69
20,1542,TARACHAND,SM,2000,2000,100.00
20,1543,TARMAT,EQ,7446,6902,92.69
20,1544,TASTYBITE,EQ,213,114,53.52
20,1545,TATACHEM,EQ,692250,188741,27.26
20,1546,TATACOFFEE,EQ,753709,215783,28.63
20,1547,TATACOMM,EQ,1087217,384955,35.41
20,1548,TATAELXSI,EQ,568010,72733,12.80
20,1549,TATAGLOBAL,EQ,2647248,1213708,45.85
20,1550,TATAINVEST,EQ,10164,8146,80.15
20,1551,TATAMETALI,EQ,23383,7762,33.20
20,1552,TATAMOTORS,EQ,29527702,5222574,17.69
20,1553,TATAMTRDVR,EQ,5034574,1104936,21.95
20,1554,TATAPOWER,EQ,6969108,3696426,53.04
20,1555,TATASTEEL,E1,81981,44370,54.12
20,1556,TATASTEEL,EQ,10984679,1618566,14.73
20,1557,TATASTLBSL,EQ,580641,276033,47.54
20,1558,TATASTLLP,EQ,14346,5677,39.57
20,1559,TBZ,EQ,117133,45772,39.08
20,1560,TCFSL,NB,748,697,93.18
20,1561,TCFSL,ND,455,350,76.92
20,1562,TCFSL,NF,350,350,100.00
20,1563,TCFSL,NH,50,40,80.00
20,1564,TCFSL,NJ,55,55,100.00
20,1565,TCFSL,NL,175,75,42.86
20,1566,TCI,EQ,6077,3685,60.64
20,1567,TCIDEVELOP,EQ,215,185,86.05
20,1568,TCIEXP,EQ,13544,9452,69.79
20,1569,TCIFINANCE,EQ,2121,2085,98.30
