Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
PAGEIND,20400.00,20452.45,19700.00,19953.10,-447.00,-2.19,36370.00,19007.40,-28.76,0.05,31-DEC-2999,-
PEL,1968.25,2019.00,1903.10,1936.00,-55.85,-2.80,3307.95,1705.50,-21.06,-6.25,31-DEC-2999,-
PETRONET,247.20,248.70,242.65,245.75,-2.90,-1.17,254.90,203.40,12.06,3.80,31-DEC-2999,-
PFC,130.40,130.40,125.05,127.15,-4.10,-3.12,138.75,67.50,76.23,-3.56,31-DEC-2999,-
PIDILITIND,1205.00,1205.00,1180.00,1201.50,-4.75,-0.39,1312.60,895.00,13.08,-5.41,31-DEC-2999,-
PNB,76.30,77.95,72.40,72.60,-9.20,-11.25,99.90,58.45,-3.90,-8.74,04-JUL-2019,ANNUAL GENERAL MEETING
POWERGRID,205.00,206.35,200.35,200.70,-5.15,-2.50,212.00,172.50,10.49,2.69,31-DEC-2999,-
PVR,1656.00,1688.55,1605.70,1620.50,-56.15,-3.35,1829.95,1062.80,17.71,-6.36,31-DEC-2999,-
RAMCOCEM,775.00,775.05,750.65,762.00,-15.25,-1.96,845.00,546.90,9.19,-3.86,31-DEC-2999,-
RAYMOND,724.00,724.65,702.25,711.95,-15.45,-2.12,939.80,593.00,-19.39,-11.93,23-MAY-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3 PER SHARE
RBLBANK,628.95,643.00,620.60,626.50,-6.45,-1.02,716.40,438.20,10.99,-6.09,01-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-
RECLTD,165.80,165.80,157.70,160.60,-6.05,-3.63,169.55,89.00,60.92,7.60,31-DEC-2999,-
RELCAPITAL,62.00,63.90,60.50,60.70,-1.50,-2.41,487.70,49.20,-83.49,-45.73,31-DEC-2999,-
RELIANCE,1258.00,1268.10,1248.20,1252.50,-10.85,-0.86,1417.50,958.60,29.86,-5.64,31-DEC-2999,-
RELINFRA,51.00,52.40,49.40,50.00,-1.15,-2.25,489.55,37.25,-86.93,-41.11,31-DEC-2999,-
SAIL,48.45,48.95,46.10,46.50,-1.85,-3.83,83.55,44.00,-40.84,-4.52,31-DEC-2999,-
SBIN,368.00,368.45,353.50,355.90,-14.75,-3.98,373.60,247.40,38.78,5.64,31-DEC-2999,-
SHREECEM,21400.00,21433.75,20771.25,20840.00,-526.00,-2.46,22399.90,13100.00,26.81,1.07,31-DEC-2999,-
SIEMENS,1270.00,1283.45,1232.20,1250.00,-9.60,-0.76,1367.05,850.25,28.64,0.67,31-DEC-2999,-
SRF,2982.05,2982.75,2870.75,2897.70,-84.35,-2.83,3086.10,1530.05,77.99,1.98,31-DEC-2999,-
SRTRANSFIN,1071.00,1076.40,1020.00,1035.00,-42.50,-3.94,1477.25,902.30,-10.16,-2.86,19-JUN-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SHARE
STAR,371.00,380.45,366.15,371.85,-4.60,-1.22,551.40,340.10,-8.42,-9.70,31-DEC-2999,-
SUNPHARMA,375.00,380.90,365.40,368.00,-7.25,-1.93,679.30,344.55,-35.09,-8.94,31-DEC-2999,-
SUNTV,491.80,491.80,468.00,469.00,-13.25,-2.75,836.00,468.00,-39.15,-13.32,31-DEC-2999,-
TATACHEM,602.00,605.60,588.70,592.50,-13.10,-2.16,782.00,550.10,-14.55,-5.05,28-JUN-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE
TATAELXSI,866.10,869.90,848.50,865.70,-10.65,-1.22,1490.90,822.10,-35.83,1.21,08-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 13.50 PER SHARE
TATAGLOBAL,265.00,266.95,260.55,264.25,-2.35,-0.88,282.40,177.05,-2.58,4.65,24-MAY-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE
TATAMOTORS,159.35,159.50,153.50,155.10,-5.10,-3.18,282.00,129.00,-40.70,-8.60,31-DEC-2999,-
TATAMTRDVR,77.70,77.70,74.50,75.00,-2.95,-3.78,159.50,71.00,-51.06,-8.65,31-DEC-2999,-
TATAPOWER,70.20,70.40,67.35,68.45,-2.15,-3.05,86.10,59.80,-3.93,5.15,04-JUN-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER
TATASTEEL,475.00,479.50,465.20,469.90,-8.45,-1.77,647.60,441.35,-15.07,-3.03,04-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE
TCS,2149.00,2188.80,2132.10,2171.10,8.00,0.37,2292.50,1784.35,15.47,0.23,31-DEC-2999,-
TECHM,680.00,685.75,665.50,681.00,-0.10,-0.01,846.50,612.40,5.31,-7.72,31-DEC-2999,-
TITAN,1260.00,1270.90,1245.70,1253.00,-25.10,-1.96,1340.90,732.30,49.52,-1.30,31-DEC-2999,-
TORNTPHARM,1513.00,1539.00,1496.30,1534.00,8.85,0.58,1962.00,1404.55,8.03,0.98,13-JUN-2019,DIVIDEND RS 4 PER SHARE
TORNTPOWER,293.00,301.70,291.75,294.95,-1.25,-0.42,313.00,211.50,34.22,20.61,13-JUN-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE
TVSMOTOR,424.30,424.80,404.60,410.05,-14.25,-3.36,604.70,404.60,-28.12,-16.09,31-DEC-2999,-
UBL,1377.90,1387.95,1357.05,1380.00,-0.80,-0.06,1491.40,1031.80,20.66,4.88,31-DEC-2999,-
UJJIVAN,290.50,293.85,270.50,274.00,-18.40,-6.29,406.80,166.50,-27.02,-23.14,31-DEC-2999,-
ULTRACEMCO,4524.00,4524.00,4344.35,4390.00,-132.05,-2.92,4904.95,3260.45,11.53,-3.96,31-DEC-2999,-
UNIONBANK,83.50,83.75,76.65,76.85,-7.25,-8.62,100.40,61.25,-3.27,4.77,20-JUN-2019,ANNUAL GENERAL MEETING
UPL,669.95,673.50,653.00,660.10,-5.70,-0.86,709.05,358.17,5.95,-34.79,02-JUL-2019,BONUS 1:2
VEDL,163.00,165.20,160.85,162.55,-1.10,-0.67,246.90,145.80,-26.55,-0.34,04-JUL-2019,ANNUAL GENERAL MEETING
VOLTAS,591.15,610.00,591.15,605.45,-10.20,-1.66,662.50,472.25,17.10,2.88,31-DEC-2999,-
WIPRO,267.75,271.25,266.05,267.40,-4.45,-1.64,301.60,195.12,1.25,-8.27,20-JUN-2019,BUYBACK
YESBANK,87.00,94.60,85.65,93.35,5.20,5.90,404.00,85.65,-73.23,-34.90,03-JUN-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE
ZEEL,346.10,348.05,332.00,334.45,-11.45,-3.31,553.60,288.30,-39.39,-1.94,31-DEC-2999,-
