Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Ex-Dividend-Date, Divident
"BAJFINANCE","2,287.00","2,348.00","2,285.10","2,339.00","45.05","1.96","2,994.00","1,511.20","33.28",,"31-DEC-2999","-"
"BALKRISIND","959.00","974.50","955.55","966.00","2.95","0.31","1,453.55","922.70","-53.47",,"14-NOV-2018","INTERIM DIVIDEND - RS 2 PER SHARE"
"BANKBARODA","112.90","114.45","111.15","112.55","-0.20","-0.18","191.85","91.00","-35.45",,"31-DEC-2999","-"
"BANKINDIA","82.55","84.80","80.75","84.40","1.90","2.30","216.80","73.20","-56.85",,"31-DEC-2999","-"
"BATAINDIA","999.00","1,011.00","992.50","1,000.35","1.75","0.18","1,115.70","653.10","27.87",,"31-DEC-2999","-"
"BEL","95.70","97.45","94.05","96.70","0.90","0.94","193.40","74.25","-44.88",,"20-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND- RE 0.40 PER SHARE"
"BEML","706.00","728.40","700.00","725.30","16.00","2.26","1,728.00","521.25","-56.38",,"19-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 8 PER SHARE"
"BERGEPAINT","318.80","320.35","313.35","318.20","-2.05","-0.64","349.90","232.30","27.66",,"31-DEC-2999","-"
"BHARATFIN","944.70","957.90","932.65","938.00","-4.15","-0.44","1,234.80","823.75","-4.44",,"31-DEC-2999","-"
"BHARATFORG","584.00","592.00","581.05","588.50","6.20","1.06","798.00","541.05","-14.93",,"15-NOV-2018","INTERIM DIVIDEND RS  - RS 2.50 PER SHARE"
"BHARTIARTL","301.30","306.70","298.00","301.80","0.50","0.17","547.50","276.85","-39.42",,"05-NOV-2018","INTERIM DIVIDEND RS - 2.50 PER SHARE"
"BHEL","66.10","67.70","65.10","66.85","0.80","1.21","107.95","64.45","-26.66",,"05-NOV-2018","BUYBACK"
"BIOCON","625.00","631.50","620.60","627.00","2.45","0.39","718.00","365.10","70.66",,"31-DEC-2999","-"
"BOSCHLTD","19,280.00","19,393.65","19,080.00","19,221.85","27.05","0.14","22,400.00","16,975.00","-2.31",,"31-DEC-2999","-"
"BPCL","315.50","323.45","308.50","322.50","6.55","2.07","542.50","238.55","-34.59",,"31-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND RS- 7 PER SHARE"
"BRITANNIA","5,794.00","5,828.00","5,732.05","5,812.10","41.35","0.72","6,934.35","4,400.00","21.38",,"31-DEC-2999","-"
"CADILAHC","371.35","371.50","357.95","359.35","-11.85","-3.19","468.90","332.25","-19.82",,"31-DEC-2999","-"
"CANBK","252.95","259.45","248.00","253.50","0.85","0.34","401.70","204.75","-32.84",,"31-DEC-2999","-"
"CANFINHOME","278.00","285.75","268.50","278.00","-0.30","-0.11","557.50","216.50","-38.71",,"31-DEC-2999","-"
"CAPF","482.60","501.35","475.20","495.60","13.00","2.69","901.85","437.25","-29.34",,"31-DEC-2999","-"
"CASTROLIND","150.85","151.00","148.25","149.70","-1.30","-0.86","213.95","134.95","-62.37",,"31-DEC-2999","-"
"CEATLTD","1,250.00","1,264.70","1,230.40","1,253.00","1.30","0.10","2,019.00","985.85","-26.95",,"31-DEC-2999","-"
"CENTURYTEX","892.90","908.85","882.00","905.50","11.95","1.34","1,471.20","718.05","-30.07",,"31-DEC-2999","-"
"CESC","687.00","692.30","679.25","679.50","-2.40","-0.35","1,190.00","642.00","-33.69",,"30-OCT-2018","COMPOSITE SCHEME OF ARRANGEMENT"
"CGPOWER","34.00","35.30","33.55","35.10","1.40","4.15","99.15","32.85","-57.17",,"31-DEC-2999","-"
"CHENNPETRO","273.75","275.40","268.40","272.65","0.55","0.20","464.40","220.65","-34.91",,"31-DEC-2999","-"
"CHOLAFIN","1,291.25","1,306.95","1,272.00","1,289.90","8.90","0.69","1,760.05","1,038.00","3.15",,"31-DEC-2999","-"
"CIPLA","521.90","525.00","514.45","521.80","2.25","0.43","678.45","507.20","-13.39",,"31-DEC-2999","-"
"COALINDIA","265.75","266.50","262.10","263.65","-2.10","-0.79","316.95","257.30","-3.83",,"04-SEP-2018","ANNUAL GENERAL MEETING"
"COLPAL","1,113.20","1,132.10","1,110.50","1,127.00","15.25","1.37","1,281.70","1,018.30","6.64",,"05-NOV-2018","INTERIM DIVIDEND - RS 8 PER SHARE"
